Calendar_Year,ACARA_SML_ ID,Location_AGE_ID,School_AGE_ID,School_Name,Suburb,State,Postcode,School_Sector,School_Type,Campus_Type,Rolled_Reporting_Description,Year_Range,Geolocation,ICSEA,ICSEA_Percentile,Bottom_SEA_Quarter_(%),Lower_Middle_SEA Quarter_(%),Upper_Middle_SEA_Quarter_(%),Top_SEA_Quarter_(%),Teaching_Staff,Full_Time_Equivalent_Teaching_Staff,Non-Teaching_Staff,Full_Time_Equivalent_Non-Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Full_Time_Equivalent_Enrolments,Indigenous_Enrolments_(%),Language_Background_Other_Than_English-Yes_(%),Language_Background_Other_Than_English-No_(%),Language_Background_Other_Than_English-Not_Stated_(%),ratio
2022,45958,40749,749,Ave Maria College,Aberfeldie,VIC,3040,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1069,75,9,29,38,23,69,65.3,34,25.7,815,815,0,815,0,9,91,0,11.8115942
2022,50267,69044,29044,Albert Park College,Albert Park,VIC,3206,Government,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1124,90,6,14,28,53,135,126,85,50.9,1559,740,819,1559,0,34,66,1,11.54814815
2022,45964,56965,16965,Mount St Joseph Girls' College,Altona,VIC,3018,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1085,80,12,22,31,36,84,80.4,39,35.2,1153,1153,0,1153,0,31,69,0,13.72619048
2022,45979,41221,1221,Emmanuel College,Altona North,VIC,3025,Catholic,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1066,75,12,28,34,26,176,167.7,72,58.3,2271,699,1572,2271,0,38,62,0,12.90340909
2022,45518,46191,6191,Ashwood High School,Ashwood,VIC,3147,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1087,81,12,20,30,37,57,51.5,27,22.9,715,319,396,715,1,39,60,1,12.54385965
2022,45351,48243,8243,Balwyn High School,Balwyn North,VIC,3104,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1142,94,3,9,30,58,196,172,50,37.3,2183,952,1231,2180.3,0,74,26,1,11.1377551
2022,45352,48992,8992,Bayswater Secondary College,Bayswater,VIC,3153,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,952,26,51,27,17,5,23,21.2,10,7.8,174,72,102,174,4,7,92,1,7.565217391
2022,40621,54578,14578,St Francis Xavier College,Beaconsfield,VIC,3807,Catholic,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1042,66,18,33,32,17,293,272.3,199,174.4,3278,1589,1689,3278,0,30,70,0,11.18771331
2022,52592,85307,85306,Beaumaris Secondary College,Beaumaris,VIC,3193,Government,Secondary,School Single Entity,Individual Reporting,07-Nov,Major Cities,1110,87,5,19,32,44,76,70.5,23,17.3,836,348,488,835.5,0,15,85,1,11
2022,45970,56964,16964,Mater Christi College,Belgrave,VIC,3160,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1085,80,8,24,36,31,65,53.7,27,22.4,684,684,0,683.9,1,14,86,0,10.52307692
2022,45868,40899,899,Our Lady of the Sacred Heart College,Bentleigh,VIC,3204,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1097,83,5,20,39,37,65,60.7,34,24.6,728,728,0,728,0,24,76,0,11.2
2022,45338,54988,14988,Bentleigh Secondary College,Bentleigh East,VIC,3165,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1075,77,12,27,31,30,95,83.1,25,20,931,412,519,928.9,1,32,67,0,9.8
2022,45356,51847,11847,Berwick Secondary College,Berwick,VIC,3806,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1021,56,25,35,27,13,147,131.8,62,45.2,1707,817,890,1706.5,1,18,81,1,11.6122449
2022,45480,57171,17171,Kambrya College,Berwick,VIC,3806,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1029,60,24,32,28,17,149,132.4,68,54.9,1766,831,935,1764.8,1,40,60,0,11.85234899
2022,45594,68202,28202,Nossal High School,Berwick,VIC,3806,Government,Secondary,School Single Entity,Individual Reporting,09-Dec,Major Cities,1136,93,4,11,29,55,65,57.8,30,21.6,831,359,472,829.4,0,90,9,1,12.78461538
2022,45357,48389,8389,Blackburn High School,Blackburn,VIC,3130,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1092,82,9,21,34,37,102,95.2,44,30.9,1283,557,726,1282.9,0,34,65,1,12.57843137
2022,45359,48381,8381,Box Hill High School,Box Hill,VIC,3128,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1127,91,5,14,29,52,119,103.4,30,23.4,1393,565,828,1390.7,0,59,41,0,11.70588235
2022,45823,40893,893,Our Lady of Sion College,Box Hill,VIC,3128,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1098,84,5,18,40,38,84,73.1,41,36.2,949,949,0,949,0,6,94,0,11.29761905
2022,40900,55901,15901,Caroline Chisholm Catholic College,Braybrook,VIC,3019,Catholic,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1022,57,26,31,29,15,106,101.3,63,53,1452,633,819,1452,0,41,59,0,13.69811321
2022,45360,46184,6184,Braybrook College,Braybrook,VIC,3019,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,960,29,50,27,16,7,142,121.1,59,33.2,1365,654,711,1365,1,85,15,0,9.612676056
2022,45675,41272,1272,Star of the Sea College,Brighton,VIC,3186,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1125,90,3,13,34,50,113,101.9,34,29.9,1194,1194,0,1194,0,4,96,0,10.56637168
2022,45362,49274,9274,Brighton Secondary College,Brighton East,VIC,3187,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1119,89,6,14,32,48,101,85.9,34,25.2,1043,430,613,1040.3,0,33,65,2,10.32673267
2022,46096,54377,14377,Penola Catholic College,Broadmeadows,VIC,3047,Catholic,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,989,42,39,29,21,11,160,143.2,89,65.9,1478,636,842,1478,1,43,57,0,9.2375
2022,50190,56073,16073,Hume Central Secondary College,Broadmeadows,VIC,3047,Government,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,881,7,74,17,8,2,145,125.2,71,62.5,1176,504,672,1176,2,83,17,0,8.110344828
2022,45471,46268,6268,Sydney Road Community School,Brunswick,VIC,3056,Government,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1026,58,30,22,23,24,32,24.7,21,14.5,96,44,52,95.3,6,10,89,1,3
2022,45545,46256,6256,Brunswick Secondary College,Brunswick,VIC,3056,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1118,89,10,15,25,50,102,88.1,32,25.6,1034,501,533,1032.7,0,35,65,1,10.1372549
2022,45874,55687,15687,Marcellin College,Bulleen,VIC,3105,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1107,86,4,20,35,41,122,116,54,46.4,1328,0,1328,1328,0,3,97,0,10.8852459
2022,45395,56058,16058,Bundoora Secondary College,Bundoora,VIC,3083,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1017,54,28,31,24,17,35,32.5,28,17.7,397,184,213,396.4,2,27,73,0,11.34285714
2022,45629,54105,14105,Parade College,Bundoora,VIC,3083,Catholic,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1074,77,10,26,35,29,187,172.9,86,71,1925,0,1925,1925,1,19,81,0,10.29411765
2022,45508,54850,14850,Forest Hill College,Burwood East,VIC,3151,Government,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1034,62,26,24,27,23,51,48.2,26,19.3,526,212,314,526,2,30,68,2,10.31372549
2022,45857,50941,10941,Siena College Ltd,Camberwell,VIC,3124,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1151,95,1,9,28,62,79,71.7,44,37.2,782,782,0,782,1,12,88,0,9.898734177
2022,52527,,80055,SEDA College (Victoria),Camberwell,VIC,3123,Independent,Secondary,School Head Campus,Rolled Reporting,11-Dec,Major Cities,1022,57,23,37,28,13,43,42.2,69,32,644,216,428,644,3,9,91,0,14.97674419
2022,45365,48378,8378,Camberwell High School,Canterbury,VIC,3126,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1127,91,4,14,30,51,86,72.9,36,27.3,984,280,704,983.3,0,30,65,6,11.44186047
2022,45366,48379,8379,Canterbury Girls Secondary College,Canterbury,VIC,3126,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1131,91,4,13,32,52,81,67.2,29,18.9,876,876,0,871.5,0,35,45,20,10.81481481
2022,46121,57811,17811,Catholic Regional College Caroline Springs,Caroline Springs,VIC,3023,Catholic,Secondary,School Single Entity,Individual Reporting,07-Oct,Major Cities,1037,63,20,32,31,17,72,66.4,39,33.1,1001,489,512,1001,0,29,71,0,13.90277778
2022,50199,69644,29644,Lakeview Senior College,Caroline Springs,VIC,3023,Government,Secondary,School Single Entity,Individual Reporting,10-Dec,Major Cities,1009,50,30,36,25,10,75,68,45,27.5,968,505,463,968,0,57,42,1,12.90666667
2022,45482,57818,17818,Carrum Downs Secondary College,Carrum Downs,VIC,3201,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,968,32,47,33,16,4,69,63.5,38,31.4,869,401,468,869,2,21,79,1,12.5942029
2022,45495,56059,16059,Glen Eira College,Caulfield East,VIC,3145,Government,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1115,88,6,17,30,47,71,64.8,33,26.3,855,395,460,851.8,0,51,48,0,12.04225352
2022,45468,49268,9268,Oakwood School,Caulfield North,VIC,3161,Government,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,960,28,49,27,15,9,40,33.9,22,18.4,440,231,209,438.4,7,8,91,1,11
2022,45870,56966,16966,Salesian College Chadstone,Chadstone,VIC,3148,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1083,80,8,23,37,32,91,86.5,53,44.9,1104,0,1104,1104,0,50,50,0,12.13186813
2022,45368,49300,9300,Cheltenham Secondary College,Cheltenham,VIC,3192,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1052,69,15,32,33,21,86,72.4,32,22.2,883,356,527,882.4,1,44,55,1,10.26744186
2022,40828,68200,28200,John Monash Science School,Clayton,VIC,3168,Government,Secondary,School Single Entity,Individual Reporting,10-Dec,Major Cities,1116,89,6,14,31,50,64,57.6,77,32.3,656,314,342,649.8,0,73,27,0,10.25
2022,45490,46234,6234,Westall Secondary College,Clayton South,VIC,3169,Government,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,966,31,46,25,19,10,56,52.5,32,20.4,595,288,307,594.5,1,83,15,1,10.625
2022,53068,88161,88160,Clyde Secondary College,Clyde,VIC,3978,Government,Secondary,School Single Entity,Individual Reporting,7,Major Cities,1019,55,27,34,26,13,16,14.7,16,10.5,147,61,86,147,2,52,47,1,9.1875
2022,40780,66431,26431,Coburg High School,Coburg,VIC,3058,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1088,81,12,20,30,38,103,93.3,35,30.1,1211,545,666,1209.3,1,24,75,0,11.75728155
2022,45985,40859,859,Mercy College,Coburg North,VIC,3058,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1028,60,24,33,27,17,44,34.4,23,14.4,390,390,0,390,0,26,74,0,8.863636364
2022,45496,46174,6174,Craigieburn Secondary College,Craigieburn,VIC,3064,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,925,16,61,24,12,3,93,89.6,52,46.7,1098,488,610,1096,2,65,35,0,11.80645161
2022,52779,86870,86869,Elevation Secondary College,Craigieburn,VIC,3064,Government,Secondary,School Single Entity,Individual Reporting,07-Sept,Major Cities,962,29,47,28,19,7,49,46.8,21,19.1,487,230,257,487,2,76,23,1,9.93877551
2022,45328,55450,15450,Lyndhurst Secondary College,Cranbourne,VIC,3977,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,937,20,59,27,11,3,59,56.6,36,27.5,726,345,381,726,2,42,57,1,12.30508475
2022,45372,52225,12225,Cranbourne Secondary College,Cranbourne,VIC,3977,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,918,14,65,24,9,2,121,110.6,57,45.6,1272,637,635,1272,2,42,57,0,10.51239669
2022,46087,54579,14579,St Peter's College,Cranbourne,VIC,3977,Catholic,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1036,63,20,33,30,16,160,151.6,88,70.3,1790,882,908,1790,1,55,45,0,11.1875
2022,50278,69109,29109,Cranbourne East Secondary College,Cranbourne East,VIC,3977,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,976,36,42,30,19,8,144,136.1,56,47.1,1829,931,898,1829,1,60,39,1,12.70138889
2022,45604,68854,28854,Alkira Secondary College,Cranbourne North,VIC,3977,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,988,41,38,28,22,11,135,125.3,54,46.7,1738,841,897,1737.5,1,58,42,0,12.87407407
2022,52920,87629,87628,Cranbourne West Secondary College,Cranbourne West,VIC,3977,Government,Secondary,School Single Entity,Individual Reporting,07-Aug,Major Cities,979,37,43,29,20,8,42,37.4,35,22.6,469,218,251,469,2,45,53,1,11.16666667
2022,45374,48446,8446,Croydon Community School,Croydon,VIC,3136,Government,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,936,20,54,23,17,7,22,21.4,22,17.5,117,41,76,117,11,2,98,0,5.318181818
2022,45421,69637,29637,Melba Secondary College,Croydon,VIC,3136,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,981,38,40,27,21,12,67,56.6,36,26.5,624,311,313,624,1,27,73,0,9.313432836
2022,46223,55323,15323,Luther College,Croydon,VIC,3136,Independent,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1130,91,3,15,32,50,135,112.7,52,44.3,1169,611,558,1168.6,0,10,90,0,8.659259259
2022,45588,46230,6230,Dandenong High School,Dandenong,VIC,3175,Government,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,895,10,68,17,10,5,148,137.6,62,57.4,1519,745,774,1519,1,90,10,0,10.26351351
2022,45932,41041,1041,St John's Regional College,Dandenong,VIC,3175,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,995,44,36,34,24,6,63,58.6,33,29,612,282,330,612,0,34,66,0,9.714285714
2022,45416,49249,9249,Lyndale Secondary College,Dandenong North,VIC,3175,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,913,13,65,20,11,3,89,76.2,42,28.2,823,414,409,822.2,1,83,17,0,9.247191011
2022,40689,57411,17411,Copperfield College,Delahey,VIC,3037,Government,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,952,26,53,29,14,4,191,170.4,94,71.6,2036,976,1060,2035.4,1,57,43,0,10.65968586
2022,45521,54847,14847,Diamond Valley College,Diamond Creek,VIC,3089,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1021,56,24,36,27,14,80,67,20,15.1,762,378,384,760.1,2,6,89,5,9.525
2022,45379,48256,8256,Doncaster Secondary College,Doncaster,VIC,3108,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1064,74,14,28,32,26,106,93.6,46,36.7,1319,627,692,1318.5,1,32,68,0,12.44339623
2022,45377,54872,14872,East Doncaster Secondary College,Doncaster East,VIC,3109,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1107,86,7,16,33,44,154,128,53,39.6,1630,752,878,1629.8,0,75,25,0,10.58441558
2022,45865,48789,8789,Whitefriars College Inc,Donvale,VIC,3111,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1113,88,3,19,35,43,101,93.5,59,47.9,1079,0,1079,1079,1,11,89,0,10.68316832
2022,45330,56380,16380,Dromana Secondary College,Dromana,VIC,3936,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1010,51,30,34,25,11,162,143.4,49,36.8,1819,878,941,1818.5,2,3,97,0,11.22839506
2022,45382,48232,8232,Eltham High School,Eltham,VIC,3095,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1097,84,9,22,29,40,137,118.9,81,41.7,1471,709,762,1470.8,1,9,91,1,10.73722628
2022,45726,54273,14273,Catholic Ladies' College Ltd,Eltham,VIC,3095,Catholic,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1111,87,4,18,35,43,73,63.6,34,26.5,762,762,0,760.8,0,8,92,0,10.43835616
2022,45510,46625,6625,St Helena Secondary College,Eltham North,VIC,3095,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1062,73,14,29,32,25,132,115.8,34,27.3,1510,744,766,1510,1,13,84,3,11.43939394
2022,45383,55445,15445,Elwood College,Elwood,VIC,3184,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1105,86,8,18,31,44,71,64.6,33,23.2,795,346,449,793.5,1,26,72,2,11.1971831
2022,45497,54722,14722,Emerald Secondary College,Emerald,VIC,3782,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,1012,52,27,37,25,12,60,54.3,36,25.3,708,345,363,707.3,3,4,96,0,11.8
2022,45599,55647,15647,Gleneagles Secondary College,Endeavour Hills,VIC,3802,Government,Secondary,School Single Entity,Individual Reporting,07-Dec,Major Cities,972,34,45,28,19,8,136,124,45,38.4,1472,699,773,1469.3,1,61,39,1,10.82352941
2022,40615,53639,13639,St Monica's College,Epping,VIC,3076,Catholic,Secondary,School Head Campus,Rolled Reporting,07-Dec,Major Cities,1055,71,15,30,34,21,218,199.2,117,104.4,2018,983,1035,2018,0,56,44,0,9.256880734
